구 분,전기 | 삼성전기㈜,전기 | 삼성에스디에스㈜,전기 | 삼성바이오로직스㈜,전기 | 삼성SDI㈜,전기 | ㈜제일기획
요약 재무상태표:,,,,,
유동자산,4888319.0,8005764.0,6457657.0,9651702.0,2193979.0
비유동자산,6108852.0,3946660.0,10124394.0,20605823.0,557466.0
유동부채,2525123.0,2493323.0,4181542.0,8006939.0,1335643.0
비유동부채,778563.0,992132.0,3416034.0,5033084.0,194373.0
요약 포괄손익계산서:,,,,,
매출,9441276.0,17234750.0,3001295.0,20124070.0,4253367.0
계속영업손익(*),1009739.0,1099745.0,798056.0,1952149.0,193732.0
세후중단영업손익(*),-29187.0,0.0,0.0,0.0,0.0
기타포괄손익(*),-2215.0,80368.0,6995.0,-139877.0,-1122.0
총포괄손익(*),978337.0,1180113.0,805051.0,1812272.0,192610.0
