과 목,제 55 (당) 기,제 55 (당) 기_2,제 54 (전) 기,제 54 (전) 기_2
Ⅰ. 미처분이익잉여금,,18028341.0,,18066687.0
1. 전기이월이익잉여금,30.0,,30.0,
"2. 분기배당  주당배당금(률)  제55기 - 1,083원(1083%)  제54기 - 1,083원(1083%)",-7356461.0,,-7356461.0,
3. 당기순이익,25397099.0,,25418778.0,
4. 기타포괄손익-공정가치금융자산 처분,-12327.0,,4340.0,
Ⅱ. 임의적립금 등의 이입액,,0.0,,0.0
Ⅲ. 이익잉여금처분액,,18028311.0,,18066657.0
1. 배당금  주당배당금(률)  제55기 - 보통주: 361원(361%)  우선주: 362원(362%)  제54기 - 보통주: 361원(361%)  우선주: 362원(362%),2452976.0,,2452976.0,
2. 연구및인력개발준비금,15575335.0,,15613681.0,
Ⅳ. 차기이월미처분이익잉여금,,30.0,,30.0
