지역,기업명,업종,지분율(%)(*)
중국,Samsung Display Dongguan(SDD),디스플레이 생산,100.0
중국,Samsung Display Tianjin(SDT),디스플레이 생산,95.0
중국,Samsung Electronics Hong Kong(SEHK),전자제품 판매,100.0
중국,Suzhou Samsung Electronics(SSEC),가전제품 생산,88.3
중국,Samsung Suzhou Electronics Export(SSEC-E),가전제품 생산,100.0
중국,Samsung (China) Investment(SCIC),전자제품 판매,100.0
중국,Samsung Mobile R&D Center China-Guangzhou (SRC-Guangzhou),R&D,100.0
중국,Samsung Tianjin Mobile Development Center(STMC),R&D,100.0
중국,Samsung R&D Institute China-Shenzhen(SRC-Shenzhen),R&D,100.0
중국,Samsung Electronics Suzhou Semiconductor(SESS),반도체 임가공,100.0
중국,Samsung Electronics (Shandong) Digital Printing(SSDP),프린터 생산,100.0
중국,Samsung Electronics Huizhou(SEHZ),전자제품 생산,99.9
중국,Tianjin Samsung Electronics(TSEC),TV/모니터 생산,91.2
중국,Samsung Electronics Taiwan(SET),전자제품 판매,100.0
중국,Beijing Samsung Telecom R&D Center(BST),R&D,100.0
중국,Tianjin Samsung Telecom Technology(TSTC),통신제품 생산,90.0
중국,Shanghai Samsung Semiconductor(SSS),반도체/디스플레이 판매,100.0
중국,Samsung Electronics Suzhou Computer(SESC),전자제품 생산,100.0
중국,Samsung Suzhou Module(SSM),디스플레이 임가공,100.0
중국,Samsung Suzhou LCD(SSL),디스플레이 생산,60.0
중국,Shenzhen Samsung Electronics Telecommunication(SSET),통신제품 생산,95.0
중국,Samsung Electronics Shanghai Telecommunication(SSTC),통신 및 네트워크 제품 판매,100.0
중국,Samsung Semiconductor (China) R&D(SSCR),R&D,100.0
중국,Samsung Electronics China R&D Center(SCRC),R&D,100.0
중국,Samsung (China) Semiconductor(SCS),반도체 생산,100.0
중국,Samsung Electronics (Beijing) Service(SBSC),서비스,100.0
중국,Tianjin Samsung LED(TSLED),LED 생산,100.0
중국,Tianjin Samsung Opto-Electronics(TSOE),카메라/캠코더 생산,90.0
중국,Samsung R&D Institute China-Xian(SRC-Xian),R&D,100.0
중국,SEMES(Xian),반도체 장비,100.0
