지역,기업명,업종,지분율(%)(*)
유럽/CIS,Samsung Electronics (UK)(SEUK),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Holding(SEHG),Holding Company,100.0
유럽/CIS,Samsung Semiconductor Europe GmbH(SSEG),반도체/디스플레이 판매,100.0
유럽/CIS,Samsung Electronics GmbH(SEG),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Iberia(SESA),전자제품 판매,100.0
유럽/CIS,Samsung Electronics France(SEF),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Hungarian(SEH),전자제품 생산 및 판매,100.0
유럽/CIS,Samsung Electronics Czech and Slovak(SECZ),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Italia(SEI),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Europe Logistics(SELS),물류,100.0
유럽/CIS,Samsung Electronics Benelux(SEBN),전자제품 판매,100.0
유럽/CIS,Samsung Display Slovakia(SDSK),디스플레이 임가공,100.0
유럽/CIS,Samsung Electronics Romania(SEROM),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Overseas(SEO),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Polska(SEPOL),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Portuguesa(SEP),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Nordic(SENA),전자제품 판매,100.0
유럽/CIS,Samsung Semiconductor Europe(SSEL),반도체/디스플레이 판매,100.0
유럽/CIS,Samsung Electronics Austria(SEAG),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Slovakia(SESK),TV/모니터 생산,100.0
유럽/CIS,Samsung Electronics Europe Holding(SEEH),Holding Company,100.0
유럽/CIS,Samsung Electronics Poland Manufacturing(SEPM),가전제품 생산,100.0
유럽/CIS,Samsung Electronics Greece(SEGR),전자제품 판매,100.0
유럽/CIS,Samsung Nanoradio Design Center(SNDC),R&D,100.0
