과 목,주 석,자본금,주식발행초과금,이익잉여금,기타자본항목,총 계
2019.1.1(전기초),,"897,514","4,403,893","166,555,532","1,131,186","172,988,125"
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,-,-,"15,353,323",-,"15,353,323"
2. 기타포괄손익-공정가치금융자산평가손익,"6, 20",-,-,"(1,286)","74,485","73,199"
3. 순확정급여부채(자산) 재측정요소,"14, 20",-,-,-,"(925,157)","(925,157)"
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,19,-,-,"(9,619,243)",-,"(9,619,243)"
2019.12.31(전기말),,"897,514","4,403,893","172,288,326","280,514","177,870,247"
2020.1.1(당기초),,"897,514","4,403,893","172,288,326","280,514","177,870,247"
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,-,-,"15,615,018",-,"15,615,018"
2. 기타포괄손익-공정가치금융자산평가손익,"6, 20",-,-,-,"93,251","93,251"
3. 순확정급여부채(자산) 재측정요소,"14, 20",-,-,-,"(642,550)","(642,550)"
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,19,-,-,"(9,619,242)",-,"(9,619,242)"
2020.12.31(당기말),,"897,514","4,403,893","178,284,102","(268,785)","183,316,724"
