기업명(*1),자산,부채,매출액,당기순이익(손실)
삼성디스플레이㈜,47162963.0,7509766.0,28653512.0,1263050.0
"Samsung Electronics America, Inc.(SEA)",30681097.0,11862223.0,31171751.0,870814.0
"Samsung (CHINA) Investment Co., Ltd.(SCIC)",16090629.0,13858532.0,3277050.0,127448.0
Harman과 그 종속기업(*2),15059925.0,5550558.0,8817792.0,41359.0
"Samsung Electronics Vietnam Co., Ltd.(SEV)",11501682.0,1607991.0,21430638.0,1783410.0
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd.(SEVT)",11360811.0,2209962.0,28340939.0,2047014.0
"Samsung (China) Semiconductor Co., Ltd.(SCS)",10254900.0,1920000.0,4517286.0,1489906.0
"Samsung Semiconductor, Inc.(SSI)",9306621.0,4288544.0,29592773.0,62872.0
Samsung Electronics Europe Holding Cooperatief U.A.(SEEH),8586022.0,6388302.0,0.0,9439.0
"Samsung Display Vietnam Co., Ltd.(SDV)",8222472.0,6195635.0,19860892.0,1003889.0
Samsung Asia Private Ltd.(SAPL),7630154.0,592916.0,1665436.0,1111559.0
"Samsung Electronics Huizhou Co., Ltd.(SEHZ)",6539392.0,586349.0,9780357.0,532767.0
Samsung India Electronics Private Ltd.(SIEL),6410825.0,3438807.0,11045500.0,309632.0
Samsung Electronica da Amazonia Ltda.(SEDA),6207458.0,1610607.0,6978086.0,778124.0
Samsung Austin Semiconductor LLC.(SAS),5642117.0,511596.0,3643739.0,434766.0
