구 분,전기,,,,
삼성전기㈜,삼성에스디에스㈜,삼성바이오로직스㈜,삼성SDI㈜,㈜제일기획,
요약 재무상태표:,,,,,
유동자산,"5,208,418","8,160,300","5,521,988","9,187,029","2,372,420"
비유동자산,"6,449,453","4,160,724","10,524,209","24,851,831","517,085"
유동부채,"2,900,460","2,391,861","4,157,861","8,518,933","1,375,034"
비유동부채,"727,087","953,592","2,057,844","5,612,677","216,707"
요약 포괄손익계산서:,,,,,
매출,"8,892,412","13,276,844","3,694,589","21,436,788","4,138,275"
계속영업손익(*),"449,857","693,422","857,691","1,921,820","187,302"
세후중단영업손익(*),"(26,900)",-,-,"87,387",-
기타포괄손익(*),"45,053","(11,085)","(11,673)","85,394","3,685"
총포괄손익(*),"468,010","682,337","846,018","2,094,601","190,987"
