구 분,내 역,,,,,,,,
전반감사계획(감사착수단계),수행시기,2020.03.09 ~ 2020.09.30,,,,,84,일,
주요내용,"회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정",,,,,,,,
현장감사주요내용,수행시기,,,투입인원,,,,주요 감사업무 수행내용,
상주,,비상주,,,,,,,
2020.04.09 ~ 2021.01.29,120,일,13,명,24,명,시스템 및 자동 내부통제 감사,,
2020.03.09 ~ 2020.12.31,83,일,44,명,38,명,조기입증감사(연중감사),,
2021.01.11 ~ 2021.01.22,10,일,40,명,6,명,조회확인 등 조기입증감사절차 업데이트,,
2021.01.28 ~ 2021.02.17,15,일,40,명,3,명,재무제표 검증 및 감사종결 절차 수행,,
재고자산실사(입회),실사(입회)시기,2020.11.29 / 2020.11.30/ 2020.12.1,,,,,3,일,
실사(입회)장소,"수원, 기흥, 구미, 광주사업장 등",,,,,,,,
실사(입회)대상,"원재료, 재공품, 제품 등",,,,,,,,
금융자산실사(입회),실사(입회)시기,2021.01.05 / 2021.01.07,,,,,2,일,
실사(입회)장소,"태평로, 수원사업장 등",,,,,,,,
실사(입회)대상,"현금, 유가증권 등",,,,,,,,
외부조회,금융거래조회,O,,채권채무조회,,,O,변호사조회,O
기타조회,타처보관재고자산,,,,,,,,
지배기구와의커뮤니케이션,커뮤니케이션 횟수,4,,회,,,,,
수행시기,2020.04.27 / 2020.07.28 / 2020.10.27 / 2021.01.26,,,,,,,,
외부전문가 활용,감사 활용 내용,해당사항없음,,,,,,,
수행시기,-,,,,,-,일,,
