구 분,내 역,,,,,,,,
전반감사계획(감사착수단계),수행시기,2019.03.11 ~ 2019.09.30,,,,,84,일,
주요내용,"감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정",,,,,,,,
현장감사주요내용,수행시기,,,투입인원,,,,주요 감사업무 수행내용,
상주,,비상주,,,,,,,
2019.04.15 ~ 2019.06.28 2019.10.07 ~ 2019.11.15 2019.12.09 ~ 2020.01.10,50,일,13,명,10,명,시스템 및 자동 내부통제 감사,,
2019.03.04 ~ 2019.12.27,65,일,61,명,16,명,조기입증감사(연중감사),,
2020.01.06 ~ 2020.01.23,14,일,47,명,10,명,조회확인 등 조기입증감사 절차 업데이트,,
2020.01.26 ~ 2020.02.21,19,일,45,명,13,명,재무제표 검증 및 감사종결 절차 수행,,
재고자산실사(입회),실사(입회)시기,2019.11.29 / 2019.11.30 / 2019.12.02,,,,,3,일,
실사(입회)장소,"수원, 기흥, 구미, 광주사업장 등",,,,,,,,
실사(입회)대상,"원재료, 재공품, 제품 등",,,,,,,,
금융자산실사(입회),실사(입회)시기,2020.01.02 / 2020.01.03,,,,,2,일,
실사(입회)장소,"태평로, 기흥사업장 등",,,,,,,,
실사(입회)대상,"현금, 유가증권 등",,,,,,,,
외부조회,금융거래조회,O,,채권채무조회,,,O,변호사조회,O
기타조회,타처보관재고자산,,,,,,,,
지배기구와의커뮤니케이션,커뮤니케이션 횟수,4,,회,,,,,
수행시기,2019.04.29 / 2019.07.30 / 2019.10.28 / 2020.01.28,,,,,,,,
외부전문가 활용,감사 활용 내용,해당사항없음,,,,,,,
수행시기,-,,,,,-,일,,
