구 분,,,당기,전기
1분기,배당받을 주식(*),보통주,"5,969,782,550주","119,395,651주"
우선주,"822,886,700주","16,457,734주",,
배당률(액면가 기준),,354%,354%,
배당금액,보통주,"2,113,303","2,113,303",
우선주,"291,302","291,302",,
계,"2,404,605","2,404,605",,
2분기,배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
우선주,"822,886,700주","822,886,700주",,
배당률(액면가 기준),,354%,354%,
배당금액,보통주,"2,113,303","2,113,303",
우선주,"291,302","291,302",,
계,"2,404,605","2,404,605",,
3분기,배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
우선주,"822,886,700주","822,886,700주",,
배당률(액면가 기준),,354%,354%,
배당금액,보통주,"2,113,303","2,113,303",
우선주,"291,302","291,302",,
계,"2,404,605","2,404,605",,
