기 업 명,당기말 | 보유주식수 (주),당기말 | 지분율 (%)(*),당기말 | 취득원가,당기말 | 장부금액 (시장가치),전기말 | 장부금액 (시장가치)
삼성중공업㈜,134027281.0,15.2,932158.0,759935.0,708882.0
㈜호텔신라,2004717.0,5.1,13957.0,156368.0,164988.0
㈜아이마켓코리아,647320.0,1.9,324.0,6926.0,5658.0
㈜케이티스카이라이프,240000.0,0.5,3344.0,2194.0,2114.0
㈜용평리조트,400000.0,0.8,1869.0,1958.0,1702.0
㈜에이테크솔루션,1592000.0,15.9,26348.0,26188.0,19263.0
㈜원익홀딩스,1759171.0,2.3,15410.0,8761.0,11153.0
㈜원익아이피에스,1850936.0,3.8,16214.0,78295.0,81904.0
㈜동진쎄미켐,2467894.0,4.8,48277.0,125863.0,90078.0
솔브레인홀딩스㈜,461741.0,2.2,30752.0,15976.0,20825.0
솔브레인㈜,373368.0,4.8,24866.0,103983.0,101668.0
㈜에스앤에스텍,1716116.0,8.0,65933.0,63153.0,74651.0
와이아이케이㈜,9601617.0,11.7,47336.0,59530.0,60010.0
㈜케이씨텍,1022216.0,4.9,20720.0,24584.0,31433.0
㈜엘오티베큠,1267668.0,7.1,18990.0,21805.0,24086.0
㈜뉴파워프라즈마,2140939.0,4.9,12739.0,13723.0,14109.0
㈜에프에스티,1522975.0,7.0,43009.0,38607.0,0.0
㈜디엔에프,810030.0,7.0,20964.0,18509.0,0.0
Marvell,173187.0,0.0,11705.0,17962.0,0.0
계,,,1354915.0,1544320.0,1412524.0
