구 분,구 분_2,구 분_3,당기,전기
1분기,배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
1분기,배당받을 주식,우선주,"822,886,700주","822,886,700주"
1분기,배당률(액면가 기준),보통주ㆍ우선주,361%,354%
1분기,배당금액,보통주,2155092.0,2113303.0
1분기,배당금액,우선주,297062.0,291302.0
1분기,배당금액,계,2452154.0,2404605.0
2분기,배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
2분기,배당받을 주식,우선주,"822,886,700주","822,886,700주"
2분기,배당률(액면가 기준),보통주ㆍ우선주,361%,354%
2분기,배당금액,보통주,2155092.0,2113303.0
2분기,배당금액,우선주,297062.0,291302.0
2분기,배당금액,계,2452154.0,2404605.0
3분기,배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
3분기,배당받을 주식,우선주,"822,886,700주","822,886,700주"
3분기,배당률(액면가 기준),보통주ㆍ우선주,361%,354%
3분기,배당금액,보통주,2155092.0,2113303.0
3분기,배당금액,우선주,297062.0,291302.0
3분기,배당금액,계,2452154.0,2404605.0
